id_proposta,nome_do_deputado,nome_do_partido,uf,voto
112762018,Haroldo Cathedral,PSD,Roraima (RR),Sim
112762018,Jhonatan de Jesus,Republican,Roraima (RR),Sim
112762018,Joenia Wapichana,Rede,Roraima (RR),Sim
112762018,Ottaci Nascimento,Solidaried,Roraima (RR),Sim
112762018,Acácio Favacho,PROS,Amapá (AP),Sim
112762018,André Abdon,PP,Amapá (AP),Sim
112762018,Leda Sadala,Avante,Amapá (AP),Sim
112762018,Pedro Dalua,PSC,Amapá (AP),Sim
112762018,Professora Marcivania,PCdoB,Amapá (AP),Sim
112762018,Vinicius Gurgel,PL,Amapá (AP),Sim
112762018,Airton Faleiro,PT,Pará (PA),Sim
112762018,Beto Faro,PT,Pará (PA),Sim
112762018,Cássio Andrade,PSB,Pará (PA),Sim
112762018,Cristiano Vale,PL,Pará (PA),Sim
112762018,Delegado Éder Mauro,PSD,Pará (PA),Sim
112762018,Eduardo Costa,PTB,Pará (PA),Sim
112762018,Elcione Barbalho,MDB,Pará (PA),Sim
112762018,Hélio Leite,DEM,Pará (PA),Sim
112762018,Joaquim Passarinho,PSD,Pará (PA),Sim
112762018,Júnior Ferrari,PSD,Pará (PA),Sim
112762018,Nilson Pinto,PSDB,Pará (PA),Sim
112762018,Vivi Reis,PSOL,Pará (PA),Sim
112762018,Átila Lins,PP,Amazonas (AM),Sim
112762018,Sidney Leite,PSD,Amazonas (AM),Sim
112762018,Coronel Chrisóstomo,PSL,Rondonia (RO),Sim
112762018,Expedito Netto,PSD,Rondonia (RO),Sim
112762018,Jaqueline Cassol,PP,Rondonia (RO),Sim
112762018,Léo Moraes,Podemos,Rondonia (RO),Sim
112762018,Mariana Carvalho,PSDB,Rondonia (RO),Sim
112762018,Mauro Nazif,PSB,Rondonia (RO),Sim
112762018,Silvia Cristina,PDT,Rondonia (RO),Sim
112762018,Alan Rick,DEM,Acre (AC),Sim
112762018,Dra. Vanda Milani,Solidaried,Acre (AC),Sim
112762018,Flaviano Melo,MDB,Acre (AC),Sim
112762018,Jesus Sérgio,PDT,Acre (AC),Não
112762018,Leo de Brito,PT,Acre (AC),Sim
112762018,Mara Rocha,PSDB,Acre (AC),Sim
112762018,Perpétua Almeida,PCdoB,Acre (AC),Sim
112762018,Carlos Henrique Gaguim,DEM,Tocantins (TO),Sim
112762018,Célio Moura,PT,Tocantins (TO),Sim
112762018,Dulce Miranda,MDB,Tocantins (TO),Sim
112762018,Eli Borges,Solidaried,Tocantins (TO),Sim
112762018,Professora Dorinha Seabra Rezende,DEM,Tocantins (TO),Sim
112762018,Tiago Dimas,Solidaried,Tocantins (TO),Sim
112762018,Aluisio Mendes,PSC,Maranhão (MA),Sim
112762018,André Fufuca,PP,Maranhão (MA),Sim
112762018,Bira do Pindaré,PSB,Maranhão (MA),Não
112762018,Cleber Verde,Republican,Maranhão (MA),Sim
112762018,Edilázio Júnior,PSD,Maranhão (MA),Sim
112762018,Gastão Vieira,PROS,Maranhão (MA),Sim
112762018,Gil Cutrim,Republican,Maranhão (MA),Sim
112762018,Hildo Rocha,MDB,Maranhão (MA),Sim
112762018,Josimar Maranhãozinho,PL,Maranhão (MA),Sim
112762018,Josivaldo JP,Podemos,Maranhão (MA),Sim
112762018,Junior Lourenço,PL,Maranhão (MA),Sim
112762018,Pedro Lucas Fernandes,PTB,Maranhão (MA),Sim
112762018,Rubens Pereira Júnior,PCdoB,Maranhão (MA),Sim
112762018,Zé Carlos,PT,Maranhão (MA),Sim
112762018,AJ Albuquerque,PP,Ceará (CE),Sim
112762018,André Figueiredo,PDT,Ceará (CE),Sim
112762018,Aníbal Gomes,DEM,Ceará (CE),Sim
112762018,Célio Studart,PV,Ceará (CE),Sim
112762018,Denis Bezerra,PSB,Ceará (CE),Sim
112762018,Eduardo Bismarck,PDT,Ceará (CE),Sim
112762018,Genecias Noronha,Solidaried,Ceará (CE),Sim
112762018,Heitor Freire,PSL,Ceará (CE),Sim
112762018,Idilvan Alencar,PDT,Ceará (CE),Sim
112762018,José Guimarães,PT,Ceará (CE),Sim
112762018,Leônidas Cristino,PDT,Ceará (CE),Sim
112762018,Luizianne Lins,PT,Ceará (CE),Sim
112762018,Vaidon Oliveira,PROS,Ceará (CE),Sim
112762018,Átila Lira,PP,Piauí (PI),Sim
112762018,Capitão Fábio Abreu,PL,Piauí (PI),Sim
112762018,Flávio Nogueira,PDT,Piauí (PI),Sim
112762018,Júlio Cesar,PSD,Piauí (PI),Sim
112762018,Marcos Aurélio Sampaio,MDB,Piauí (PI),Sim
112762018,Margarete Coelho,PP,Piauí (PI),Sim
112762018,Marina Santos,PL,Piauí (PI),Sim
112762018,Merlong Solano,PT,Piauí (PI),Sim
112762018,Rejane Dias,PT,Piauí (PI),Sim
112762018,Benes Leocádio,Republican,Rio Grande do Norte (RN),Sim
112762018,Carla Dickson,PROS,Rio Grande do Norte (RN),Sim
112762018,General Girão,PSL,Rio Grande do Norte (RN),Sim
112762018,Walter Alves,MDB,Rio Grande do Norte (RN),Sim
112762018,Edna Henrique,PSDB,Paraíba (PB),Sim
112762018,Frei Anastacio Ribeiro,PT,Paraíba (PB),Sim
112762018,Gervásio Maia,PSB,Paraíba (PB),Não
112762018,Hugo Motta,Republican,Paraíba (PB),Sim
112762018,Pedro Cunha Lima,PSDB,Paraíba (PB),Sim
112762018,Carlos Veras,PT,Pernambuco (PE),Sim
112762018,Daniel Coelho,Cidadania,Pernambuco (PE),Não
112762018,Felipe Carreras,PSB,Pernambuco (PE),Não
112762018,Fernando Coelho Filho,DEM,Pernambuco (PE),Sim
112762018,Fernando Monteiro,PP,Pernambuco (PE),Sim
112762018,Gonzaga Patriota,PSB,Pernambuco (PE),Sim
112762018,Ossesio Silva,Republican,Pernambuco (PE),Sim
112762018,Raul Henry,MDB,Pernambuco (PE),Sim
112762018,Renildo Calheiros,PCdoB,Pernambuco (PE),Sim
112762018,Sebastião Oliveira,Avante,Pernambuco (PE),Sim
112762018,Túlio Gadêlha,PDT,Pernambuco (PE),Sim
112762018,Isnaldo Bulhões Jr.,MDB,Alagoas (AL),Sim
112762018,Marx Beltrão,PSD,Alagoas (AL),Sim
112762018,Paulão,PT,Alagoas (AL),Sim
112762018,Pedro Vilela,PSDB,Alagoas (AL),Sim
112762018,Sergio Toledo,PL,Alagoas (AL),Sim
112762018,Severino Pessoa,Republican,Alagoas (AL),Sim
112762018,Tereza Nelma,PSDB,Alagoas (AL),Sim
112762018,Bosco Costa,PL,Sergipe (SE),Sim
112762018,Fábio Mitidieri,PSD,Sergipe (SE),Sim
112762018,Fabio Reis,MDB,Sergipe (SE),Sim
112762018,Gustinho Ribeiro,Solidaried,Sergipe (SE),Sim
112762018,João Daniel,PT,Sergipe (SE),Sim
112762018,Laercio Oliveira,PP,Sergipe (SE),Sim
112762018,Valdevan Noventa,PL,Sergipe (SE),Sim
112762018,Adolfo Viana,PSDB,Bahia (BA),Sim
112762018,Afonso Florence,PT,Bahia (BA),Sim
112762018,Alex Santana,PDT,Bahia (BA),Sim
112762018,Alice Portugal,PCdoB,Bahia (BA),Sim
112762018,Antonio Brito,PSD,Bahia (BA),Sim
112762018,Bacelar,Podemos,Bahia (BA),Sim
112762018,Cacá Leão,PP,Bahia (BA),Sim
112762018,Charles Fernandes,PSD,Bahia (BA),Sim
112762018,Elmar Nascimento,DEM,Bahia (BA),Sim
112762018,Félix Mendonça Júnior,PDT,Bahia (BA),Sim
112762018,José Rocha,PL,Bahia (BA),Sim
112762018,Joseildo Ramos,PT,Bahia (BA),Não
112762018,Leur Lomanto Júnior,DEM,Bahia (BA),Sim
112762018,Marcelo Nilo,PSB,Bahia (BA),Sim
112762018,Márcio Marinho,Republican,Bahia (BA),Sim
112762018,Mário Negromonte Jr.,PP,Bahia (BA),Sim
112762018,Otto Alencar Filho,PSD,Bahia (BA),Sim
112762018,Pastor Sargento Isidório,Avante,Bahia (BA),Sim
112762018,Paulo Azi,DEM,Bahia (BA),Sim
112762018,Paulo Magalhães,PSD,Bahia (BA),Sim
112762018,Professora Dayane Pimentel,PSL,Bahia (BA),Sim
112762018,Raimundo Costa,PL,Bahia (BA),Sim
112762018,Ronaldo Carletto,PP,Bahia (BA),Sim
112762018,Tia Eron,Republican,Bahia (BA),Sim
112762018,Tito,Avante,Bahia (BA),Sim
112762018,Uldurico Junior,PROS,Bahia (BA),Sim
112762018,Waldenor Pereira,PT,Bahia (BA),Sim
112762018,Zé Neto,PT,Bahia (BA),Sim
112762018,Aécio Neves,PSDB,Minas Gerais (MG),Sim
112762018,Alê Silva,PSL,Minas Gerais (MG),Sim
112762018,André Janones,Avante,Minas Gerais (MG),Sim
112762018,Charlles Evangelista,PSL,Minas Gerais (MG),Sim
112762018,Delegado Marcelo Freitas,PSL,Minas Gerais (MG),Sim
112762018,Dimas Fabiano,PP,Minas Gerais (MG),Sim
112762018,Dr. Frederico,Patriota,Minas Gerais (MG),Sim
112762018,Emidinho Madeira,PSB,Minas Gerais (MG),Sim
112762018,Eros Biondini,PROS,Minas Gerais (MG),Sim
112762018,Euclydes Pettersen,PSC,Minas Gerais (MG),Sim
112762018,Fábio Ramalho,MDB,Minas Gerais (MG),Sim
112762018,Franco Cartafina,PP,Minas Gerais (MG),Sim
112762018,Gilberto Abramo,Republican,Minas Gerais (MG),Sim
112762018,Greyce Elias,Avante,Minas Gerais (MG),Sim
112762018,Igor Timo,Podemos,Minas Gerais (MG),Sim
112762018,Júlio Delgado,PSB,Minas Gerais (MG),Sim
112762018,Junio Amaral,PSL,Minas Gerais (MG),Sim
112762018,Lafayette de Andrada,Republican,Minas Gerais (MG),Sim
112762018,Leonardo Monteiro,PT,Minas Gerais (MG),Sim
112762018,Lincoln Portela,PL,Minas Gerais (MG),Sim
112762018,Lucas Gonzalez,Novo,Minas Gerais (MG),Sim
112762018,Luis Tibé,Avante,Minas Gerais (MG),Sim
112762018,Marcelo Álvaro Antônio,PSL,Minas Gerais (MG),Sim
112762018,Mauro Lopes,MDB,Minas Gerais (MG),Sim
112762018,Odair Cunha,PT,Minas Gerais (MG),Sim
112762018,Padre João,PT,Minas Gerais (MG),Sim
112762018,Patrus Ananias,PT,Minas Gerais (MG),Sim
112762018,Paulo Abi-Ackel,PSDB,Minas Gerais (MG),Sim
112762018,Paulo Guedes,PT,Minas Gerais (MG),Sim
112762018,Reginaldo Lopes,PT,Minas Gerais (MG),Sim
112762018,Rogério Correia,PT,Minas Gerais (MG),Sim
112762018,Subtenente Gonzaga,PDT,Minas Gerais (MG),Sim
112762018,Tiago Mitraud,Novo,Minas Gerais (MG),Sim
112762018,Vilson da Fetaemg,PSB,Minas Gerais (MG),Sim
112762018,Weliton Prado,PROS,Minas Gerais (MG),Não
112762018,Zé Silva,Solidaried,Minas Gerais (MG),Sim
112762018,Amaro Neto,Republican,Espírito Santo (ES),Sim
112762018,Da Vitória,Cidadania,Espírito Santo (ES),Sim
112762018,Dra. Soraya Manato,PSL,Espírito Santo (ES),Sim
112762018,Felipe Rigoni,PSB,Espírito Santo (ES),Sim
112762018,Helder Salomão,PT,Espírito Santo (ES),Sim
112762018,Lauriete,PSC,Espírito Santo (ES),Sim
